CODE,TYPE,HEADING,LABELS,COST,DETAILS
 B8301214,earrings,Diamants LÃ©gers earrings XS,"pink gold, diamonds",,"Diamants LÃ©gers earrings, 18K pink gold, each set with a brilliant-cut diamond of 0.04 carats."
 N8515086,earrings,"Etincelle de Cartier earrings, large model","white gold, diamonds",15700.0,"Etincelle de Cartier hoop earrings, large model, 18K white gold, each set with 60 brilliant-cut diamonds totaling 0.70 carats."
 N8515133,earrings,Reflection de Cartier earrings,"white gold, diamonds",17000.0,"Reflection de Cartier earrings, 18K white gold, each set with 1 troidia-cut diamond, 2 princess-cut diamonds and 7 baguette-cut diamonds totaling 0.77 carats."
 N8515190,earrings,Etincelle de Cartier earrings,"pink gold, diamonds",,"Ã‰tincelle de Cartier earrings, 18K pink gold, each set with 74 brilliant-cut diamonds totaling 1.73 carats."
 N8515171,earrings,Etincelle de Cartier earring,"white gold, diamonds",21200.0,"Ã‰tincelle de Cartier ring, 18K white gold, set with 6 princess-cut diamonds totaling 0.39 carat and 34 brilliant-cut diamonds totaling 1.22 carats."
 HP800859,earrings,Diamond Collection earrings,"platinum, diamonds",,"Earrings - platinum, 158 brilliant-cut diamonds totaling 5.06 carats."
 H8000334,earrings,Reflection de Cartier earrings,"white gold, diamonds",80000.0,"Reflection de Cartier earring, large model, 18K white gold, set with 27 baguette-cut diamonds totaling 2.53 carats, 5 princess-cut diamonds totaling 1.53 carats and 2 troidia-cut diamonds totaling 0.89 carats."
 H8000454,earrings,Reflection de Cartier earrings,"white gold, diamonds",80000.0,"Reflection de Cartier earring, large model, 18K white gold, set with 27 baguette-cut diamonds totaling 2.53 carats, 5 princess-cut diamonds totaling 1.53 carats and 2 troidia-cut diamonds totaling 0.89 carats."
 B8041700,earrings,C de Cartier earrings,"pink gold, pearl",2080.0,"C de Cartier earrings, 18K pink gold, each set with an Akoya pearl."
 B8041800,earrings,C de Cartier earrings,"white gold, pearl",2220.0,"C de Cartier earrings, 18K white gold, each set with an Akoya cultured pearl."
 B8301428,earrings,Juste un Clou single earring,yellow gold,810.0,"Juste un Clou single earring, 18K yellow gold. Diameter 12.45 mm. Sold individually."
 B8301234,earrings,Juste un Clou earrings,pink gold,,"Juste un Clou hoop earrings, 18K rose gold. Width: 1.8mm. Inner diameter 12.75mm."
 B8301235,earrings,Juste un Clou earrings,yellow gold,2620.0,"Juste un Clou hoop earrings, 18K yellow gold. Width: 1.8mm. Inner diameter 12.75mm."
 B8301236,earrings,Juste un Clou earrings,white gold,2800.0,"Juste un Clou hoop earrings, 18K white gold. Width: 1.8mm. Inner diameter 12.75mm."
 B8301211,earrings,Juste un Clou earrings,pink gold,4600.0,"Juste un Clou earrings, 18K rose gold. Width: 1.8mm. Inner diameter 40mm."
 B8301212,earrings,Juste un Clou earrings,"pink gold, diamonds",,"Juste un Clou earrings, 18K pink gold, set with 28 brilliant-cut diamonds totaling 0.17 carats. Width: 1.8mm. Inner diameter 40mm."
 N8515009,earrings,Juste un Clou earrings,"pink gold, diamonds",22900.0,"Juste un Clou earrings, 18K pink gold, set with 176 brilliant-cut diamonds totaling 1.26 carats."
 N8515008,earrings,Juste un Clou earrings,"white gold, diamonds",24600.0,"Juste un Clou earrings, 18K white gold, set with 176 brilliant-cut diamonds totaling 1.26 carats."
 B8301225,earrings,Juste un Clou earrings,"yellow gold, diamonds",7000.0,"Juste un Clou earrings, 18K yellow gold, set with 28 brilliant-cut diamonds totaling 0.17 carats. Width: 1.8mm. Inner diameter 40mm."
 B8032600,earrings,"Maillon PanthÃ¨re earrings, 3 diamond-paved rows","white gold, diamonds",13000.0,"Maillon PanthÃ¨re earrings, 18K white gold, each set with 36 brilliant-cut diamonds totaling 0.29 carat."
 N8515186,earrings,Agrafe earrings,"pink gold, diamonds",25900.0,"Agrafe earrings, 18K pink gold, each set with 79 brilliant-cut pavÃ© diamonds totaling 2.77 carats."
 N8515156,earrings,Agrafe earrings,"pink gold, diamonds",13100.0,"Agrafe earrings, 18K pink gold, onyx, each set with 42 brilliant-cut diamond totaling 1.24 carats."
 N8515187,earrings,Agrafe earrings,"yellow gold, diamonds",25900.0,"Agrafe earrings, 18K yellow gold, each set with 79 brilliant-cut pavÃ© diamonds totaling 2.77 carats."
 N8515188,earrings,Agrafe earrings,"white gold, diamonds",27700.0,"Agrafe earrings, 18K white gold, each set with 79 brilliant-cut pavÃ© diamonds totaling 2.77 carats."
 H8000654,earrings,Pluie de Cartier earrings,"white gold, diamonds",68500.0,"Pluie de Cartier earrings, 18K white gold, each set with 47 brilliant-cut diamonds totaling 4.08 carats and 2 baguette-cut diamonds totaling 0.21 carat."
 B8301408,earrings,Ecrou de Cartier earrings,pink gold,5000.0,"Ecrou de Cartier earrings, 18K pink gold."
 N8515135,earrings,Pluie de Cartier earrings,"white gold, diamonds",59000.0,"Pluie de Cartier earrings, 18K white gold, each set with 6 pear-shaped diamonds totaling 3.52 carats and 12 brilliant-cut diamonds totaling 0.79 carat."
 N8515134,earrings,Pluie de Cartier earrings,"white gold, diamonds",,"Pluie de Cartier earrings, 18K white gold, each set with 17 brilliant-cut diamonds totaling 1.92 carats."
 H8000466,earrings,Pluie de Cartier earrings,"white gold, diamonds",32000.0,"Pluie de Cartier earrings, 18K white gold, each set with 20 brilliant-cut diamonds totaling 2.06 carats."
 B8301416,earrings,Clash de Cartier earrings Small Model,pink gold,,"Clash de Cartier earrings, small model, 18K pink gold. Width: 6.4mm. Inner diameter: 37.8mm"
 B8301415,earrings,Clash de Cartier earrings Small Model,pink gold,3900.0,"Clash de Cartier earrings, small model, 18K pink gold. Width: 6.4mm. Inner diameter: 16.2mm"
 N8515173,earrings,Clash de Cartier earrings Diamonds,"pink gold, diamonds",,"Clash de Cartier earrings, 18K pink gold, each set with 14 brilliant-cut diamonds totaling 0.41 carats. Width: 6.8mm. Inner diameter: 16.2mm"
 N8515218,earrings,Clash de Cartier earring Large Model,"pink gold, amazonite",13700.0,"Clash de Cartier earring, large model, 18K pink gold, amazonite."
