CODE,TYPE,HEADING,LABELS,COST,DETAILS
 B7009000,necklaces,Santos de Cartier necklace,yellow gold,7450.0,"Santos-Dumont chain necklace, 18K yellow gold."
 N7408300,necklaces,"Maillon PanthÃ¨re thin necklace, 3 diamond-paved rows","white gold, diamonds",87000.0,"Maillon PanthÃ¨re necklace, 18K white gold, set with 821 brilliant-cut diamonds totaling 6.43 carats."
 B3153111,necklaces,Cross pendant,yellow gold,570.0,"Cross pendant, 18K yellow gold"
 B3153112,necklaces,Star pendant,yellow gold,570.0,"Star pendant, 18K yellow gold"
 B3153113,necklaces,Hand of Fatima pendant,yellow gold,570.0,"Hand of Fatima pendant, 18K yellow gold"
 B3040400,necklaces,Symbols necklace,"pink gold, diamonds",1580.0,"C Heart of Cartier necklace, extra-small model, 18K pink gold, set with a brilliant-cut diamond of 0.01 carat."
 B7221600,necklaces,Symbols necklace,"white gold, diamond",1690.0,"C Heart of Cartier pendant, extra-small model, 18K white gold set with a brilliant-cut diamond of 0.01 carat."
 B7221700,necklaces,Symbols necklace,"white gold, diamonds",2440.0,"Cross necklace, 18K white gold, set with 11 brilliant-cut diamonds totaling 0.13 carat."
 B3153118,necklaces,Hearts and Symbols pendant,"pink gold, diamonds",2810.0,"Hand of Fatima necklace, 18K pink gold, set with 14 brilliant-cut diamonds totaling 0.17 carats"
 B3153119,necklaces,Hearts and Symbols pendant,"white gold, diamond",3050.0,"Hand of Fatima necklace, 18K white gold, set with 14 brilliant-cut diamonds totaling 0.17 carats"
 B3153116,necklaces,Hearts and Symbols pendant,"pink gold, diamonds",,"Etoile necklace, 18K pink gold, set with 12 brilliant-cut diamonds totaling 0.15 carats."
 B3153117,necklaces,Hearts and Symbols pendant,"white gold, diamonds",2670.0,"Etoile necklace, 18K white gold, set with 12 brilliant-cut diamonds totaling 0.15 carats."
 N7424320,necklaces,Agrafe necklace,"pink gold, diamonds",17600.0,"Agrafe necklace, 18K pink gold, set with 73 brilliant-cut pavÃ© diamonds totaling 1.48 carats."
 N7424321,necklaces,Agrafe necklace,"white gold, diamonds",18900.0,"Agrafe necklace, 18K white gold, set with 73 brilliant-cut pavÃ© diamonds totaling 1.48 carats."
 N3029200,necklaces,Agrafe necklace,"pink gold, diamonds",17600.0,"Agrafe necklace, 18K pink gold, set with 70 brilliant-cut diamonds totaling 1.51 carats."
 N3028000,necklaces,Agrafe necklace,"white gold, diamonds",18900.0,"Agrafe necklace, 18K white gold, set with 70 brilliant-cut diamonds totaling 1.51 carats."
 N7424294,necklaces,Agrafe necklace,"pink gold, diamonds",37000.0,"Agrafe RÃ©sille necklace, 18K pink gold, set with 78 brilliant-cut diamonds totaling 2.85 carats."
 N7424296,necklaces,Agrafe necklace,"pink gold, diamonds",67500.0,"Agrafe RÃ©sille necklace, 18K pink gold, set with 102 brilliant-cut diamonds totaling 5.10 carats."
 H7000014,necklaces,Agrafe necklace,"pink gold, diamonds",97000.0,"Agrafe RÃ©sille necklace, 18K pink gold, set with 197 brilliant-cut diamonds totaling 6.46 carats."
 H7000544,necklaces,Pluie de Cartier necklace,"white gold, diamonds",,"Pluie de Cartier necklace, 18K white gold, set with diamonds."
 N7424285,necklaces,Pluie de Cartier necklace,"white gold, diamonds",29600.0,"Pluie de Cartier necklace, 18K white gold, set with 6 pear-shaped diamonds totaling 1.76 carats and 14 brilliant-cut diamonds totaling 0.42 carat."
